Name (English);Name (Chinese);Region of Focus;Language;Entity owner (English);Entity owner (Chinese);Parent entity (English);Parent entity (Chinese);X (Twitter) handle;X (Twitter) URL;X (Twitter) Follower #;Facebook page;Facebook URL;Facebook Follower #;Instragram page;Instagram URL;Instagram Follower #;Threads account;Threads URL;Threads Follower #;YouTube account;YouTube URL;YouTube Subscriber #;TikTok account;TikTok URL;TikTok Subscriber #;date_hour;tweet_text;twits_clean;sentiment;Persons;GPE;NORP;proxy_is_foreing_interf_canada;hour;day_of_week_name;day_of_week_num
Mundo China;;Lusophone;Portuguese;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;mundo_china;https://twitter.com/mundo_china;6719.0;;;;;;;;;;;;;;;;Sun May 03 04:25:15 PDT 2009;@eviltabbi No probs! I'm on my way back to Grays now only to head back to London in a couple of hours! Tired ;@ eviltabbi probs ! 'm way back grays head back london couple hours ! tired;0;;london;;Yes;04;Sunday;0
Muyi Dima (مويي);;MENA;Arabic;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;muyi_dima;https://twitter.com/muyi_dima;15000.0;MuyiDima;https://www.facebook.com/MuyiDima;1000000.0;;;;;;;user-vd9qh4ke9t;https://www.youtube.com/channel/UCiTkn6HPpDEtO71seE-SBLQ;488.0;;;;Fri May 01 22:04:09 PDT 2009;@DonnieWahlberg wish I could see you again when you come to Toronto....but I will be in Ireland. It makes me sad ;@ donniewahlberg wish could see come toronto .... ireland . makes sad;1;ireland;toronto;;No;22;Friday;5
Panda Paws;;USA;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;panda_paws;https://twitter.com/Panda_Paws_;2235.0;;;;;;;;;;;;;;;;Tue Apr 07 01:12:49 PDT 2009;Argh.  Driving into London today.  Made a wrong turn at Kings-X - stuck in an extra 30 minutes of logjam traffic ;argh . driving london today . made wrong turn kings-x - stuck extra 30 minutes logjam traffic;0;logjam;london;;Yes;01;Tuesday;2
Pandaorama;;USA;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;PandaoramaLink;https://twitter.com/PandaoramaLink;414.0;;;;;;;;;;;;;pandaorama;https://www.tiktok.com/@pandaorama;60700.0;Sat Apr 18 20:51:05 PDT 2009;@mikenumbers I wantz to go to Chicago ;@ mikenumbers wantz go chicago;0;;chicago;;Yes;20;Saturday;6
People's Daily;人民日报;China;Chinese;People's Daily Press;人民日报社;Central Committee of the Chinese Communist Party;中国共产党中央委员会;PDChina;https://twitter.com/PDChina;6600000.0;PeoplesDaily;https://www.facebook.com/PeoplesDaily;85867335.0;peoples_daily;https://www.instagram.com/peoples_daily/;1300000.0;peoples_daily;https://www.threads.net/@peoples_daily;28200.0;PeoplesDaily;https://www.youtube.com/@PeoplesDaily;410000.0;peoplesdaily;https://www.tiktok.com/@peoplesdaily;2600000.0;Fri Apr 17 20:42:36 PDT 2009;@rhertz In chicago ;@ rhertz chicago;0;;chicago;;Yes;20;Friday;5
People's Daily Hong Kong;人民日报香港版;Hong Kong;English;People's Daily Press;人民日报社;Central Committee of the Chinese Communist Party;中国共产党中央委员会;PDChinaHK;https://twitter.com/PDChinaHK;4494.0;PDChinaHK;https://www.facebook.com/PDChinaHK/;1400000.0;;;;;;;;;;;;;Tue Apr 07 04:43:07 PDT 2009;@bexiclepop Sorry hun  Just not sure if I can any more time off atm. Could meet up after Hammersmith tho? You staying in London then? x;@ bexiclepop sorry hun sure time atm . could meet hammersmith tho ? staying london ? x;1;;london;;No;04;Tuesday;2
Zhang Peijin;;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;peijin_zhang;https://twitter.com/peijin_zhang;2867.0;;;;;;;;;;;;;;;;Sat May 02 06:31:31 PDT 2009;@kristenstewart9 i saw you guys on E.T and i am pumped for new moon. although i still have not seen adventureland.  having fun in canada?;@ kristenstewart9 saw guys e.t pumped new moon . although still seen adventureland . fun canada ?;1;;canada;;No;06;Saturday;6
Phoenix TV News;凤凰资讯;Anglosphere;English;Phoenix Media Investment (Holdings) Limited;鳳凰衛視投資（控股）有限公司;Bauhinia Culture Holdings Limited;紫荆文化集团;PhoenixTV_News;https://twitter.com/PhoenixTV_News;43600.0;;;;phoenixtv_news;https://www.instagram.com/phoenixtv_news/;34000.0;;;;phoenixtvnews7060;https://www.youtube.com/@phoenixtvnews7060;34600.0;phoenixtvnews;https://www.tiktok.com/@phoenixtvnews;1100000.0;Sun Apr 19 01:16:37 PDT 2009;Going over to a frnds house now to say gbye to his sis who's leavin fr london tonite.. Gbyes r hard ;going frnds house say gbye sis 's leavin fr london tonite .. gbyes r hard;0;;london;;Yes;01;Sunday;0
Chen Song;;Nepal;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;PRCAmbNepal;https://twitter.com/PRCAmbNepal;71400.0;;;;;;;;;;;;;;;;Mon Apr 20 05:12:53 PDT 2009;@mileycyrus your coming to london wednesday YAY im coming thee to and really wanna meet you and demi so much i didnt get tickets  xx;@ mileycyrus coming london wednesday yay im coming thee really wan na meet demi much didnt get tickets xx;1;;london;;No;05;Monday;1
Chen Song;;Nepal;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;PRCAmbNepal;https://twitter.com/PRCAmbNepal;71400.0;;;;;;;;;;;;;;;;Tue Apr 21 01:21:26 PDT 2009;@jeffgerstmann Does this mean no bombcast tomororw?  And why in London?;@ jeffgerstmann mean bombcast tomororw ? london ?;0;bombcast tomororw;london;;Yes;01;Tuesday;2
Lucas Zhuang;;Brazil;Portuguese;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;promisingzhuang;https://twitter.com/promisingzhuang;5191.0;;;;;;;;;;;;;;;;Sat May 02 03:37:45 PDT 2009;@pablete cheers mate, I'm afraid I can't make it to euroko   but get in touch if you are in London.;@ pablete cheers mate , 'm afraid ca n't make euroko get touch london .;1;;london;;No;03;Saturday;6
Lucas Zhuang;;Brazil;Portuguese;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;promisingzhuang;https://twitter.com/promisingzhuang;5191.0;;;;;;;;;;;;;;;;Sun May 03 02:24:43 PDT 2009;Chicago lost  that sucks!  http://twitpic.com/4gzap;chicago lost sucks ! http : //twitpic.com/4gzap;0;;chicago;;Yes;02;Sunday;0
Quan Quan;全权;Algeria;Arabic;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;QuanQuan_1231;https://twitter.com/QuanQuan_1231;3159.0;;;;;;;;;;;;;;;;Mon Apr 20 03:27:31 PDT 2009;only 3 weeks left in london ;3 weeks left london;0;;london;;Yes;03;Monday;1
Guancha Syndicate;观察者网;China;Chinese;Shanghai Guanchazhe Information Technology Co.,Ltd;上海观察者信息技术有限公司;Shanghai Academy of Social Sciences (SASS);上海社会科学院;realGuancha;https://twitter.com/realGuancha;71500.0;realGuancha;https://www.facebook.com/realGuancha;14000.0;;;;;;;guancha021;https://www.youtube.com/@guancha021;491000.0;;;;Mon Apr 20 07:33:57 PDT 2009;My friend flies into Toronto tonight for a 10-day visit, and the weather is TOTALLY ABYSMAL... for days ;friend flies toronto tonight 10-day visit , weather totally abysmal ... days;1;;toronto;;No;07;Monday;1
Guancha Syndicate;观察者网;China;Chinese;Shanghai Guanchazhe Information Technology Co.,Ltd;上海观察者信息技术有限公司;Shanghai Academy of Social Sciences (SASS);上海社会科学院;realGuancha;https://twitter.com/realGuancha;71500.0;realGuancha;https://www.facebook.com/realGuancha;14000.0;;;;;;;guancha021;https://www.youtube.com/@guancha021;491000.0;;;;Fri May 01 20:24:18 PDT 2009;@giaaaa Aw, that's sick, but I almost died in Toronto last time I saw TSH there! I want to see them in MTL... I like our crowds better... ;@ giaaaa aw , 's sick , almost died toronto last time saw tsh ! want see mtl ... like crowds better ...;1;;toronto;;No;20;Friday;5
Sanya, China;三亚市人民政府;Hainan;English;China Daily Press;中国日报社;Sanya Municipal People's Government;三亚市人民政府;SanyaofChina;https://twitter.com/SanyaofChina;71100.0;SanyaofChina;https://www.facebook.com/SanyaofChina/;709000.0;sanyaofchina;https://www.instagram.com/sanyaofchina/;3716.0;;;;;;;;;;Sat May 02 02:26:00 PDT 2009;@Kianne_13 yer i dunno i wud if i felt ready lol or i might wait x no i did have a bf but he was living in london and it was nt working ;@ kianne_13 yer dunno wud felt ready lol might wait x bf living london nt working;1;;london;;No;02;Saturday;6
Discover Beautiful China;;Anglosphere;English;China Daily Press;中国日报社;Central Publicity Department;中共中央宣传部;SceneryofChina;https://twitter.com/SceneryofChina;37900.0;;;;;;;;;;;;;;;;Tue Apr 21 01:44:08 PDT 2009;no skate police in London...   next time i just wont see you and i wont slide into you!;skate police london ... next time wont see wont slide !;0;;london;;Yes;01;Tuesday;2
Discover Beautiful China;;Anglosphere;English;China Daily Press;中国日报社;Central Publicity Department;中共中央宣传部;SceneryofChina;https://twitter.com/SceneryofChina;37900.0;;;;;;;;;;;;;;;;Sat May 02 11:07:44 PDT 2009;@xCraziiChiicax my friend spilled her coffey on it this morning and i just droped it in the middle of crossing the street in toronto ;@ xcraziichiicax friend spilled coffey morning droped middle crossing street toronto;1;;toronto;;No;11;Saturday;6
Hu Jianlin (Shalevetya / שלהבתיה);;Israel;Hebrew;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;Shalevetyah;https://twitter.com/Shalevetyah;9.0;Shalevetyah;https://www.facebook.com/Shalevetyah;677.0;shalevetyah;https://www.instagram.com/shalevetyah;158.0;;;;shalevetyah3479;https://www.youtube.com/channel/UCJgbxFG84oYqUV3aJdFs6Qw;31.0;;;;Sun Apr 19 03:07:13 PDT 2009;That has to be a joke!! just found out no TwitterBerry for me since apparently in canada if you ain't with Bell The twittin' be hatin' ;joke ! ! found twitterberry since apparently canada ai n't bell twittin ' hatin ';1;;canada;;No;03;Sunday;0
Shen Shiwei;沈诗伟;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;shen_shiwei;https://twitter.com/shen_shiwei;91500.0;ShenShiweiFB;https://www.facebook.com/ShenShiweiFB;50000.0;;;;;;;Shen_Shiwei;https://www.youtube.com/channel/UC0qIAejjPz8cCyuFdfCwf2Q;121.0;;;;Sun Apr 19 09:14:58 PDT 2009;@BrianNeudorff  Yes, tis a rainy day here in #Chicago! Tought to take after 75 degrees and sunny Saturday! Today it's 55 degrees. ;@ brianneudorff yes , tis rainy day # chicago ! tought take 75 degrees sunny saturday ! today 's 55 degrees .;1;;chicago;;No;09;Sunday;0
Shen Shiwei;沈诗伟;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;shen_shiwei;https://twitter.com/shen_shiwei;91500.0;ShenShiweiFB;https://www.facebook.com/ShenShiweiFB;50000.0;;;;;;;Shen_Shiwei;https://www.youtube.com/channel/UC0qIAejjPz8cCyuFdfCwf2Q;121.0;;;;Fri May 01 20:45:16 PDT 2009;oh no, its raining all day tomorrow in Toronto ;oh , raining day tomorrow toronto;0;;toronto;;Yes;20;Friday;5
Center.Sichuan;;Sichuan;English;Sichuan Daily Online Media Development Co., Ltd.;四川日报网络传媒发展有限公司;Sichuan Provincial Committee;中共四川省委;SichuanDaily;https://twitter.com/SichuanDaily;6026.0;profile.php?id=100076190284448;https://www.facebook.com/profile.php?id=100076190284448;23000.0;center.sicc;https://www.instagram.com/center.sicc/;0.0;;;;;;;;;;Tue Apr 07 01:36:05 PDT 2009;via @chrismevans: Argh.  Driving into London today.  Made a wrong turn at Kings-X - stuck in an extra 30 minutes of logjam traffic ;via @ chrismevans : argh . driving london today . made wrong turn kings-x - stuck extra 30 minutes logjam traffic;0;logjam;london;;Yes;01;Tuesday;2
Sixth Tone;;Shanghai;English;Shanghai United Media Group (SUMG);上海报业集团;Shanghai Municipal Committee;中共上海市委;SixthTone;https://twitter.com/SixthTone;80300.0;sixthtone;https://www.facebook.com/sixthtone;696000.0;;;;sixthtone;https://www.threads.net/@sixthtone;7821.0;;;;;;;Sat May 02 07:17:22 PDT 2009;@chrisfromcanada We're moving in the summer so kids can finish the schoolyear. I'm excited but our teenager doesn't want to leave Toronto ;@ chrisfromcanada 're moving summer kids finish schoolyear . 'm excited teenager n't want leave toronto;1;;toronto;;No;07;Saturday;6
Space Town Wenchang;文昌网;Hainan;Chinese;unknown;;unknown;;Spacewenchang;https://twitter.com/Spacewenchang;3402.0;profile.php?id=100082566804212&paipv=0&eav=Afa5GMw44Bzrn-Ep8OWN3I92hYhOcUk03c5TZ7n-IF2UjcrLBb_460MBK4Zy1T5ciWU;https://www.facebook.com/profile.php?id=100082566804212&paipv=0&eav=Afa5GMw44Bzrn-Ep8OWN3I92hYhOcUk03c5TZ7n-IF2UjcrLBb_460MBK4Zy1T5ciWU;49.0;;;;;;;;;;;;;Sun Apr 19 12:25:09 PDT 2009;@frugaldougal My son lives in London now! But he hardly ever calls  He's a vegan and very green and doesn't have phone!;@ frugaldougal son lives london ! hardly ever calls 's vegan green n't phone !;0;;london;;Yes;12;Sunday;0
Liu Pengyu;刘鹏宇;USA;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;SpoxCHNinUS;https://twitter.com/SpoxCHNinUS;6350.0;;;;;;;;;;;;;;;;Sun Apr 19 11:15:49 PDT 2009;@petewentz aries! i want my folks to let me go to cobra's gig in london next month ;@ petewentz aries ! want folks let go cobra 's gig london next month;1;;london;;No;11;Sunday;0
Liu Pengyu;刘鹏宇;USA;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;SpoxCHNinUS;https://twitter.com/SpoxCHNinUS;6350.0;;;;;;;;;;;;;;;;Sun May 03 03:17:27 PDT 2009;@spacecowboytrax AHH WHAT?! u were spinning in london!!! damn i didnt know  u djing tonight too???;@ spacecowboytrax ahh ? ! u spinning london ! ! ! damn didnt know u djing tonight ? ? ?;0;;london;;Yes;03;Sunday;0
Liu Pengyu;刘鹏宇;USA;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;SpoxCHNinUS;https://twitter.com/SpoxCHNinUS;6350.0;;;;;;;;;;;;;;;;Sun May 03 06:29:16 PDT 2009;On my way to the airport - have to fly to Chicago this morning ;way airport - fly chicago morning;0;;chicago;;Yes;06;Sunday;0
Ye Xinhua (Suad Ye);叶心心;MENA;Arabic;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;suadye;https://twitter.com/suadye;122.0;suadxinxin;https://www.facebook.com/suadxinxin;1600000.0;suad_ye_china;https://www.instagram.com/suad_ye_china/;3812.0;;;;suadye;https://www.youtube.com/channel/UCvvJaw3bwJhp4x0uUZ0qMfA;4770.0;;;;Sun Apr 19 05:36:51 PDT 2009;Just waking up for like the 5th time. ZORI keeps odd hours.  gotta see London shortly....crush saYS he's in town for one night only. Hmmm;waking like 5th time . zori keeps odd hours . got ta see london shortly .... crush says 's town one night . hmmm;1;zori keeps;london;;No;05;Sunday;0
Su Yuting;苏钰婷;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;SuYuting8;https://twitter.com/SuYuting8;1239.0;;;;;;;;;;;;;;;;Sun May 03 01:24:23 PDT 2009;I had the worst nightmare tonight! I lost my Tuesday flight to London  ;worst nightmare tonight ! lost tuesday flight london;0;;london;;Yes;01;Sunday;0
CRI Swahili;;East African Community;Swahili;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;SWAHILICRI;https://twitter.com/SWAHILICRI;42.0;swahilicricn;https://www.facebook.com/swahilicricn;2200000.0;;;;;;;;;;;;;Sat Apr 18 13:29:13 PDT 2009;Enjoying my last Mexican lunch  heading back to London tonight;enjoying last mexican lunch heading back london tonight;1;;london;mexican;No;13;Saturday;6
Meng Zhe;;Anglosphere;English;China Daily Press;中国日报社;Central Publicity Department;中共中央宣传部;SXiaochuan258;https://twitter.com/SXiaochuan258;1009.0;;;;;;;;;;;;;;;;Tue Apr 07 01:41:17 PDT 2009;@ShystieUK wish me luck gotta go london ging great olmand street for a appointment really scared  xxxx;@ shystieuk wish luck got ta go london ging great olmand street appointment really scared xxxx;1;;london;;No;01;Tuesday;2
CGTN The Link;;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;thelinkoncgtn;https://twitter.com/TheLinkOnCGTN;1068.0;;;;;;;;;;;;;;;;Sat May 02 10:48:07 PDT 2009;@StealingVirtue Back to Chicago and back to finals...boo  We are almost done though!;@ stealingvirtue back chicago back finals ... boo almost done though !;0;;chicago;;Yes;10;Saturday;6
CGTN The Point with Liu Xin;;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;thepoint_CGTN;https://twitter.com/thepoint_CGTN;397.0;thepointwithlx;https://www.facebook.com/thepointwithlx;7970.0;xin2867;https://www.instagram.com/xin2867/;201.0;;;;;;;;;;Sat Apr 18 07:46:30 PDT 2009;made it to CHICAGO but our group luggae with aaaaalll the costumes didn't  The devil is busy but God aint sleep. And we gone kill the show;made chicago group luggae aaaaalll costumes n't devil busy god aint sleep . gone kill show;1;;chicago;;No;07;Saturday;6
T-House;茶馆论道;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;thouse_opinions;https://twitter.com/thouse_opinions;118800.0;thouseopinions;https://www.facebook.com/thouseopinions/;4900000.0;;;;;;;;;;;;;Sat May 02 00:04:36 PDT 2009;I miss my wife and kids!  24/7 with them all last week on vacation and off to Chicago right when we got back ;miss wife kids ! 24/7 last week vacation chicago right got back;0;;chicago;;Yes;00;Saturday;6
Tian Wei;田薇;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;tianwei;https://twitter.com/tianwei;6333.0;Tian-Wei-at-work-104942321495828;https://www.facebook.com/profile.php?id=100063605994377;1400000.0;tianwei_beijing;https://www.instagram.com/tianwei_beijing/;197.0;;;;;;;;;;Sun Apr 19 10:39:42 PDT 2009;Off to Chicago later today. I love it there except it is susposed to be cold ;chicago later today . love except susposed cold;1;;chicago;;No;10;Sunday;0
Today Review;今日正言;Hong Kong;Cantonese;AcMedia Limited;正傳媒有限公司;unknown;;Todayreview_hk;https://twitter.com/Todayreview_hk;290.0;todayreview88;https://www.facebook.com/todayreview88;209000.0;;;;;;;todayreview9720;https://www.youtube.com/channel/UCnCSV5zHRrhCQVJBN905Zxg;122.0;;;;Sun Apr 19 23:30:30 PDT 2009;@mwtsnx I saw the new HP trailer, looks amazing. I'm going to london this summer but I can't afford to stay an extra week to see it there ;@ mwtsnx saw new hp trailer , looks amazing . 'm going london summer ca n't afford stay extra week see;1;;london;;No;23;Sunday;0
Today Review;今日正言;Hong Kong;Cantonese;AcMedia Limited;正傳媒有限公司;unknown;;Todayreview_hk;https://twitter.com/Todayreview_hk;290.0;todayreview88;https://www.facebook.com/todayreview88;209000.0;;;;;;;todayreview9720;https://www.youtube.com/channel/UCnCSV5zHRrhCQVJBN905Zxg;122.0;;;;Sat May 02 10:48:30 PDT 2009;@NicholasJerry92 Jonas is tonight!! But not in Canada  Are you excited for people to see it?;@ nicholasjerry92 jonas tonight ! ! canada excited people see ?;1;;canada;;No;10;Saturday;6
Today Review;今日正言;Hong Kong;Cantonese;AcMedia Limited;正傳媒有限公司;unknown;;Todayreview_hk;https://twitter.com/Todayreview_hk;290.0;todayreview88;https://www.facebook.com/todayreview88;209000.0;;;;;;;todayreview9720;https://www.youtube.com/channel/UCnCSV5zHRrhCQVJBN905Zxg;122.0;;;;Sun May 03 05:23:38 PDT 2009;@vashtan - yes it was - The golden hour will b 5th of  May in London in The Camden Head - mebbe U have time - sry, only have a #fb link ;@ vashtan - yes - golden hour b 5th may london camden head - mebbe u time - sry , # fb link;1;;london;;No;05;Sunday;0
Tong Media HK;通傳媒;Hong Kong;Chinese;Hong Kong China News Agency;香港中通社;United Front Work Department;中共中央统一战线工作部;TongMediaHK;https://twitter.com/TongMediaHK;5693.0;;;;;;;;;;;;;;;;Sun May 03 21:50:43 PDT 2009;@Freakiix  i thought so too.. But I I'll go to London this year anyways..hopefully..xD..uh and I can't come with u to GD,'cause of school ;@ freakiix thought .. 'll go london year anyways .. hopefully .. xd .. uh ca n't come u gd , 'cause school;1;;london;;No;21;Sunday;0
Sun Xueying (Teresa Sun / Un Té con Teresa);;Hispanophone;Spanish;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;UnTeresa;https://twitter.com/UnTeresa;122.0;UnTeConTeresa;https://www.facebook.com/Un-T%C3%A9-con-Teresa-104117804789876/about;1200000.0;un_te_con_teresa;https://www.instagram.com/un_te_con_teresa;215.0;;;;UnTeconTeresa;https://www.youtube.com/channel/UCARDxAeiEZxmnSSDTnpmjrA/about;6730.0;unteconteresa;https://www.tiktok.com/@unteconteresa;166900.0;Sun May 03 05:17:16 PDT 2009;@FiFiTheFAIRY i was watching something on DC eairler and they showed the london premere of HMTM - so wanted to be there  Hoedown dancers!;@ fifithefairy watching something dc eairler showed london premere hmtm - wanted hoedown dancers !;0;;london;;Yes;05;Sunday;0
Li Yimei (Vica Li);李伊湄;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;VicaLi18;https://twitter.com/VicaLi18;1707.0;LearnChineseWithVica;https://www.facebook.com/LearnChineseWithVica/;1300000.0;learning_chinese_with_vica;https://www.instagram.com/learning_chinese_with_vica/;115000.0;learning_chinese_with_vica;https://www.threads.net/@learning_chinese_with_vica;6669.0;vicachinese6048;https://www.youtube.com/channel/UC9lI3GcZkJDgdZSeuR6rt5g;7290.0;vicalichinese;https://www.tiktok.com/@vicalichinese;8885.0;Sat Apr 18 10:25:14 PDT 2009;oh my! i cannot believe miley and demi are both going to be in London!! i want to go soo bad ;oh ! believe miley demi going london ! ! want go soo bad;1;;london;;No;10;Saturday;6
Li Yimei (Vica Li);李伊湄;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;VicaLi18;https://twitter.com/VicaLi18;1707.0;LearnChineseWithVica;https://www.facebook.com/LearnChineseWithVica/;1300000.0;learning_chinese_with_vica;https://www.instagram.com/learning_chinese_with_vica/;115000.0;learning_chinese_with_vica;https://www.threads.net/@learning_chinese_with_vica;6669.0;vicachinese6048;https://www.youtube.com/channel/UC9lI3GcZkJDgdZSeuR6rt5g;7290.0;vicalichinese;https://www.tiktok.com/@vicalichinese;8885.0;Sat Apr 18 23:37:32 PDT 2009;@ddlovato Wish you were coming to Toronto. ;@ ddlovato wish coming toronto .;1;;toronto;;No;23;Saturday;6
Visit Chongqing;;Anglosphere;English;unknown;;unknown;;visitchongqing;https://twitter.com/visitchongqing;1906.0;visitchongqing;https://www.facebook.com/visitchongqing/;6700.0;visitchongqing;https://www.instagram.com/visitchongqing;2223.0;;;;visitchongqing8720;https://www.youtube.com/@visitchongqing8720;133.0;visit_chongqing1;https://www.tiktok.com/@visit_chongqing1;46.0;Tue Apr 07 06:38:38 PDT 2009;@davidm89 FYI: In case you're looking, a new Chicago Manual goes for about $50. ;@ davidm89 fyi : case 're looking , new chicago manual goes $ 50 .;1;;chicago;;No;06;Tuesday;2
Friendly Shandong;好客山东网;Shandong;English;Shandong Provincial Department of Culture and Tourism;山东省文化和旅游厅;Shandong Provincial People's Government;山东省人民政府山;VisitShandong;https://twitter.com/VisitShandong;12600.0;VisitShandong;https://www.facebook.com/VisitShandong;1400000.0;travel_shandong;https://www.instagram.com/travel_shandong/;51600.0;;;;FriendlyShandong;https://www.youtube.com/shandong/featured;4850.0;visitshandong;https://www.tiktok.com/@visitshandong;89500.0;Sat May 02 10:32:18 PDT 2009;@Jonasbrothers JONAS doesnt premiere in canada yet  I guess that's what youtube is for ! lovee you guys! cant wait for this summer !;@ jonasbrothers jonas doesnt premiere canada yet guess 's youtube ! lovee guys ! cant wait summer !;0;@ jonasbrothers jonas;canada;;Yes;10;Saturday;6
Wang Guan (Michael Wang);王冠;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;WangGuanBeijing;https://twitter.com/wangguanbeijing;22700.0;wangguan1984FB;https://www.facebook.com/wangguan1984FB;901000.0;wangguanbeijing;https://www.instagram.com/wangguanbeijing/;1992.0;;;;;;;;;;Sat Apr 18 23:57:30 PDT 2009;@britneyspears You're following me. My dreams have almost come true. If only I get tickets to the Chicago show     Hope the show went well;@ britneyspears 're following . dreams almost come true . get tickets chicago show hope show went well;1;;chicago;;No;23;Saturday;6
Wang Jian;;Panama;Spanish;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;WangJianPaco;https://twitter.com/WangJianPaco;9655.0;;;;;;;;;;;;;;;;Sun Apr 19 06:42:18 PDT 2009;@jaykpurdy I didnt go.  It was like 6am here when you started XD. Please do one where in london time its later than 10am haha. x;@ jaykpurdy didnt go . like 6am started xd . please one london time later 10am haha . x;1;;london;;No;06;Sunday;0
Wang Xiaohui;王晓辉;Anglosphere;English;China International Communications Group (CICG);中国外文出版发行事业局;Central Publicity Department;中共中央宣传部;wangxh65;https://twitter.com/wangxh65;26100.0;;;;;;;;;;;;;;;;Sun Apr 19 23:42:55 PDT 2009;@Leafybear heading up to The City from the South Coast gone from sun to cloud at Basingstoke northwards  Hope it gets to London later;@ leafybear heading city south coast gone sun cloud basingstoke northwards hope gets london later;1;;london;;No;23;Sunday;0
Wang Xianfeng;王险峰;Pakistan;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;WangXianfeng8;https://twitter.com/WangXianfeng8;10100.0;;;;;;;;;;;;;;;;Sat May 02 05:51:29 PDT 2009;Sad because I wanted to go to London today and meet Sophie and Gem properly ;sad wanted go london today meet sophie gem properly;0;;london;;Yes;05;Saturday;6
Yang Wanming;楊萬明;Brazil;Portuguese;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;WanmingYang;https://twitter.com/WanmingYang;82100.0;;;;;;;;;;;;;;;;Tue Apr 07 06:43:15 PDT 2009;@KegWorks Thanks. I've seen this list but It's only for USA, nothing for Canada ;@ kegworks thanks . 've seen list 's usa , nothing canada;1;;canada;;No;06;Tuesday;2
Wave Media;;Shanghai;English;Shanghai Guanchazhe Information Technology Co.,Ltd;上海观察者信息技术有限公司;Shanghai Academy of Social Sciences (SASS);上海社会科学院;WaveMedia2022;https://twitter.com/WaveMedia2022;283.0;;;;;;;;;;wavemedia4433;https://www.youtube.com/@wavemedia4433;51600.0;wavemedia2022;https://www.tiktok.com/@wavemedia2022;8685.0;Mon Apr 20 06:03:38 PDT 2009;@katyperry Gutted I Can't See You Live When Your In london ;@ katyperry gutted ca n't see live london;0;;london;;Yes;06;Monday;1
Wang Tianyu (Evan Wang);;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;wty510;https://twitter.com/wty510;7.0;;;;;;;;;;;;;;;;Tue Apr 07 00:11:19 PDT 2009;I really don't want to go back to Chicago. I liked not hearing about bad politicians or Oprah, I hate Oprah.  Only 4 days left in the UK ;really n't want go back chicago . liked hearing bad politicians oprah , hate oprah . 4 days left uk;1;oprah;chicago;;No;00;Tuesday;2
